ICD10,n_of_positive_patient,n_of_negative_patient,DIAGNOSIS_DESCRIPTION,LLM_selected,confidence,rationale
A01,2,64,Typhoid and paratyphoid fevers,0,0.9,"Typhoid and paratyphoid fevers are acute infectious diseases with no clinically plausible connection to opioid exposure, pain conditions, or substance use vulnerabilities that would predict future OUD risk. The observed prevalence (3.03%) likely reflects random variation given the very small sample size (n=66). This diagnosis lacks biological or clinical rationale for OUD prediction."
A02,91,39556,Other salmonella infections,0,0.8,"Other salmonella infections are acute gastrointestinal conditions with no clear clinical pathway to OUD risk. The 0.23% OUD prevalence is close to general population baseline, suggesting minimal predictive signal. This infectious disease diagnosis lacks plausible connection to pain, substance use vulnerabilities, or opioid exposure patterns that would make it useful for OUD prediction."
A03,2,307,Shigellosis,0,0.9,"Shigellosis is an acute bacterial gastrointestinal infection with no clinically plausible connection to opioid exposure, pain conditions, or substance use vulnerabilities that would predict future OUD risk. The extremely low prevalence (0.65%) and lack of biological mechanism linking this infectious disease to opioid use disorder makes it unsuitable as a predictive feature."
A04,1074,55271,Other bacterial intestinal infections,0,0.8,"Other bacterial intestinal infections lack clear clinical connection to OUD risk factors like pain, opioid exposure, or substance use vulnerabilities. The 1.91% OUD prevalence is close to general population rates, suggesting minimal predictive signal. This acute infectious condition is unlikely to meaningfully predict future OUD development compared to more relevant risk factors."
A05,236,10047,"Other bacterial foodborne intoxications, not elsewhere classified",0,0.8,"Bacterial foodborne intoxications are acute infectious conditions unrelated to opioid exposure, pain management, or substance use vulnerabilities. The 2.30% OUD prevalence likely reflects general healthcare utilization rather than meaningful predictive signal. No clinically plausible mechanism connects foodborne illness to future OUD risk. This diagnosis lacks predictive relevance for opioid use disorder."
A06,1,164,Amebiasis,0,0.8,Amebiasis is a parasitic intestinal infection with no clinically plausible connection to opioid use disorder risk factors. The extremely low prevalence (0.61%) and lack of biological or behavioral pathway linking this infectious disease to substance use makes it unlikely to provide meaningful predictive value. Including it would likely introduce noise rather than signal.
A07,10,666,Other protozoal intestinal diseases,0,0.8,"Other protozoal intestinal diseases (A07) lacks clinical plausibility for predicting OUD risk. No clear mechanistic connection to opioid exposure, pain conditions, or substance use vulnerabilities. The 1.48% prevalence among affected patients shows no meaningful signal above baseline population rates. This infectious disease diagnosis appears unrelated to OUD risk factors."
A08,481,30098,Viral and other specified intestinal infections,0,0.8,"Viral and other specified intestinal infections lack clear clinical connection to OUD risk factors like pain conditions, substance use vulnerabilities, or opioid exposure pathways. The 1.57% prevalence among affected patients shows minimal signal above baseline population rates. This acute infectious condition is unlikely to meaningfully predict future OUD development compared to more relevant risk factors."
A09,265,19779,"Infectious gastroenteritis and colitis, unspecified",0,0.8,"Infectious gastroenteritis is a nonspecific acute condition with no clear clinical pathway to OUD risk. The 1.32% prevalence among affected patients likely reflects general healthcare utilization rather than meaningful OUD prediction. This diagnosis lacks biological plausibility for opioid exposure or substance use vulnerability, making it uninformative for predictive modeling."
A15,56,2097,Respiratory tuberculosis,1,0.7,"Respiratory tuberculosis may indicate underlying vulnerabilities like immunocompromise, substance use, or socioeconomic factors that correlate with OUD risk. TB treatment involves prolonged medical care which could increase opioid exposure opportunities. While rare, the diagnosis represents legitimate risk factors rather than OUD consequences, making it potentially predictive despite low frequency."
A17,1,87,Tuberculosis of nervous system,0,0.8,"Tuberculosis of nervous system is a rare, specific infectious disease with no clear clinical pathway to OUD risk. The 1.14% prevalence among affected patients is below baseline population rates, suggesting no predictive signal. This diagnosis lacks biological plausibility for opioid use disorder prediction and appears statistically uninformative for the model."
A18,10,764,Tuberculosis of other organs,0,0.8,"Tuberculosis of other organs is a specific infectious disease with no clear clinical pathway to OUD risk. The 1.29% prevalence among patients with this diagnosis provides no meaningful predictive signal above baseline population rates. This rare, organ-specific infectious condition lacks biological or behavioral connections to opioid use vulnerability, pain syndromes, or substance use disorders."
A19,2,132,Miliary tuberculosis,0,0.8,"Miliary tuberculosis is a severe systemic infection with very low OUD prevalence (1.49%). While TB patients may receive opioids for pain management, the association appears weak and likely reflects general healthcare exposure rather than meaningful OUD risk prediction. The clinical connection between this specific severe infectious disease and future OUD development is tenuous."
A22,1,24,Anthrax,0,0.9,"Anthrax is an infectious disease caused by Bacillus anthracis with no clinically plausible connection to OUD risk factors like pain, substance use, or opioid exposure. The 4% OUD prevalence among 25 patients is likely coincidental given the extremely rare nature of anthrax. This diagnosis lacks biological or clinical rationale for predicting future OUD development."
A25,1,13,Rat-bite fevers,0,0.8,"Rat-bite fever is a rare infectious disease caused by bacterial infection from rodent bites or contact. It has no clinically plausible connection to opioid exposure, pain conditions, or substance use vulnerabilities that would predict OUD risk. The observed prevalence (7.14%) likely reflects random variation given the extremely small sample size (n=14) rather than meaningful predictive signal."
A28,14,735,"Other zoonotic bacterial diseases, not elsewhere classified",0,0.8,"Other zoonotic bacterial diseases is a very rare, highly specific infectious disease category with no clear clinical pathway to OUD risk. The 1.87% prevalence among affected patients likely reflects random variation rather than meaningful association. This diagnosis lacks biological plausibility for predicting opioid use disorder and would likely contribute noise rather than signal to the model."
